date,month,n,n_tradable,ic_EMBED,gross_EMBED,ic_TFIDF,gross_TFIDF,ic_SHUFFLE,gross_SHUFFLE,ic_NOTEXT,gross_NOTEXT,turnover_EMBED,net_EMBED,turnover_TFIDF,net_TFIDF,turnover_SHUFFLE,net_SHUFFLE,turnover_NOTEXT,net_NOTEXT
2025-09-15,2025-09,351,342,0.27428985544163137,0.5916350439384939,0.11523639666060649,0.5172108230726069,0.03343454945075129,0.01109647442515847,-0.23376817626817628,-0.5563167444222862,1.8529411764705883,0.5870026909973174,1.7352941176470589,0.5128725877784892,1.7941176470588236,0.006611180307511411,1.1176470588235294,-0.559110862069345
2025-09-16,2025-09,349,341,0.3197646903004771,0.30028795234638467,0.1963415391019783,0.4107655295552712,0.026501920901603842,-0.02171059152531618,-0.18618967634479935,-0.4720324814174183,1.7352941176470589,0.295949717052267,1.4411764705882353,0.4071625883788006,1.8529411764705883,-0.02634294446649265,1.0294117647058822,-0.474606010829183
2025-09-17,2025-09,310,300,0.260912640080265,0.6985106834003616,0.2937911424506885,0.6258960143701473,0.022557011851526955,0.3007145128889388,-0.18736262906297235,-0.5230316289613621,1.6176470588235294,0.6944665657533028,1.5294117647058822,0.6220724849583826,1.9117647058823528,0.29593510112423294,1.1176470588235294,-0.525825746608421
2025-09-18,2025-09,306,298,0.25894316657758576,0.2334193004784939,0.24682461205811332,0.2571736810429881,-0.0791520421730502,-0.002667259792952764,-0.11807655298996834,-0.13009066262185257,1.4666666666666666,0.22975263381182723,1.5333333333333332,0.25334034770965475,2.0,-0.007667259792952764,1.2,-0.13309066262185257
2025-09-19,2025-09,322,316,0.31389303874152114,0.17646861025188137,0.22054353656927803,0.15760729092652298,0.0026488419022026666,-0.019529344530560728,-0.18602683058723607,-0.2524360640451917,1.65625,0.17232798525188137,1.5625,0.15370104092652298,1.9375,-0.02437309453056073,1.21875,-0.2554829390451917
2025-09-22,2025-09,364,357,0.14375611008120362,0.48614415330244654,0.08740221703575353,0.3993145721694047,-0.010765208636181307,-0.008090054793802728,-0.2114771903065801,0.19157701914371225,1.5833333333333333,0.4821858199691132,1.75,0.3949395721694047,1.972222222222222,-0.013020610349358284,1.25,0.18845201914371226
2025-09-23,2025-09,316,311,0.09551636781015217,0.06914967423984111,0.1384347185021713,0.08819063765112231,-0.017585572388201597,-0.0006551160923931321,-0.18126139052842438,-0.14694886021858666,1.6388888888888888,0.06505245201761889,1.6111111111111112,0.08416285987334453,1.9444444444444444,-0.005516227203504242,1.3333333333333333,-0.15028219355192
2025-09-24,2025-09,326,321,0.07564454561282545,0.02201244110585146,0.1148118524140732,0.04736744383788325,0.044814295685857056,0.05562085544103629,-0.14847941949422222,-0.11209383936121148,1.65625,0.017871816105851458,1.78125,0.04291431883788325,1.84375,0.05101148044103629,1.15625,-0.11498446436121147
2025-09-25,2025-09,351,343,0.15476364909985899,0.06523441809649597,0.1376180089769342,0.0530363107268869,-0.05569424808386487,-0.02038184721311497,-0.19924186924186923,0.25542709407647024,1.6176470588235294,0.06119030044943714,1.7352941176470589,0.04869807543276925,1.8235294117647058,-0.024940670742526736,1.088235294117647,0.2527065058411761
2025-09-26,2025-09,333,328,0.11733013335440158,0.12259146431014081,0.11023510096444081,0.07913304765780593,-0.10394496444432139,-0.009387203036757823,-0.1367018486634676,0.4433607921973646,1.7647058823529411,0.11817969960425846,1.6176470588235294,0.07508893001074711,1.8529411764705883,-0.014019555977934294,1.2058823529411764,0.44034608631501165
2025-09-29,2025-09,351,342,0.1445070833067743,0.12628634448114978,0.2681920606327179,0.16951916326459898,-0.09329446751831856,-0.05807052629976865,-0.10047341547341547,-0.04617519496797308,1.7352941176470589,0.12194810918703214,1.5882352941176472,0.16554857502930487,1.911764705882353,-0.06284993806447453,1.2058823529411764,-0.04918990085032602
2025-09-30,2025-09,325,322,0.05357604333154465,0.02331598649675846,0.23098885348282822,0.10310464465587349,-0.013506027260426044,-0.0010659552908159377,-0.06906087777253421,-0.07271172814937271,1.6764705882352942,0.019124810026170225,1.6764705882352942,0.09891346818528525,1.8823529411764706,-0.005771837643757114,1.3529411764705883,-0.07609408109054919
2025-10-01,2025-10,345,334,0.14745383661929545,0.05344024528448005,0.12189295257052969,0.04464285443692145,-0.05977956646503719,-0.032427125597848744,-0.10310321045956387,-0.06895756973295965,1.696969696969697,0.049197821042055806,1.7272727272727273,0.040324672618739635,1.9090909090909092,-0.03719985287057602,1.2727272727272727,-0.07213938791477784
2025-10-02,2025-10,347,343,0.02970034557751437,0.04334153879432756,0.022375855321175257,0.11175794264909597,-0.08575562933459248,-0.07185175414778187,-0.16511296749552962,-0.00870625608812518,1.7941176470588236,0.0388562446766805,1.7647058823529411,0.10734617794321362,1.9705882352941178,-0.07677822473601717,1.0588235294117647,-0.011353314911654592
2025-10-03,2025-10,353,346,0.05673073828705712,0.014429338459273171,0.03461140991092963,0.0110946336862619,0.011625957650264283,0.023001029230714523,-0.14849250535799247,-0.044212295939085454,1.8571428571428572,0.009786481316416028,1.7714285714285714,0.006666062257690471,1.9714285714285713,0.018072457802143095,1.0,-0.046712295939085456
2025-10-06,2025-10,381,378,-0.04085317083715163,-0.03271087657728154,0.07042540560503295,-0.0050992922113900704,-0.09902918919951949,-0.08247001532941478,-0.1551938344438827,-0.053047901989719155,1.6842105263157894,-0.03692140289307101,1.8157894736842104,-0.009638765895600598,1.894736842105263,-0.08720685743467793,1.1052631578947367,-0.055811059884456
