date,ticker,sym_root,sym_suffix,n_quotes,quoted_spread_bps_mean,quoted_spread_bps_median,mid_price_mean
2026-08-11,BRK-B,BRK,B,38131,3.9506,3.4513,520.7235
2026-08-11,C,C,,44042,3.1123,2.9384,136.1283
2026-08-11,CAT,CAT,,29367,7.4675,6.7399,851.0264
2026-08-11,CB,CB,,12166,6.4305,5.7422,348.2909
2026-08-11,CCI,CCI,,14585,9.0414,6.759,74.0418
2026-08-11,CDNS,CDNS,,26582,8.6244,7.6355,326.5224
2026-08-11,CEG,CEG,,48551,9.5286,8.954,278.1544
2026-08-11,CHTR,CHTR,,20582,16.1461,14.6735,155.3187
2026-08-11,CI,CI,,21296,7.2991,6.2318,272.9584
2026-08-11,CL,CL,,35982,4.3312,4.3036,92.4857
2026-08-11,CMCSA,CMCS,A,113052,3.9442,3.9239,25.4482
2026-08-11,CME,CME,,20389,4.8561,3.8558,260.6241
2026-08-11,CMG,CMG,,166241,3.2829,3.1314,31.9614
2026-08-11,COIN,COIN,,44011,9.7924,8.824,148.5712
2026-08-11,COP,COP,,250364,2.683,2.3852,125.2823
2026-08-11,COST,COST,,31107,4.7337,4.1419,942.8609
2026-08-11,CRM,CRM,,48065,6.4273,5.5774,197.5151
2026-08-11,CRWD,CRWD,,64338,6.9035,5.8081,222.3934
2026-08-11,CSCO,CSCO,,234939,2.0493,1.6598,120.9745
2026-08-11,CSX,CSX,,92390,2.2718,1.9994,50.0877
2026-08-11,CVX,CVX,,111264,2.0064,2.0359,196.237
2026-08-11,D,D,,245550,3.1701,2.9568,67.6288
2026-08-11,DD,DD,,8043,13.511,12.4292,144.6643
2026-08-11,DE,DE,,10630,11.1984,10.3655,617.7874
2026-08-11,DHI,DHI,,24739,9.4226,8.0273,149.7236
2026-08-11,DIS,DIS,,105507,2.5618,1.9406,103.4889
2026-08-11,DKNG,DKNG,,184843,5.0688,3.9675,25.2064
2026-08-11,DLR,DLR,,12097,8.9743,7.8701,191.5423
2026-08-11,DOW,DOW,,97827,3.552,3.2077,31.1719
2026-08-11,DUK,DUK,,79737,2.626,2.4491,122.3589
2026-08-11,DXCM,DXCM,,34650,5.4613,4.4758,88.7808
